Area,per_capita_GDP_2012,per_capita_GDP_2017
Alabama,36440,37508
Alaska,73505,63610
Arizona,38591,39583
Arkansas,34982,36714
California,52963,60359
Colorado,49673,54026
Connecticut,63433,62633
Delaware,62182,63955
District of Columbia,163196,159607
Florida,37711,39842
Georgia,42206,45925
Hawaii,49479,52869
Idaho,34121,36441
Illinois,52141,55102
Indiana,43077,46427
Iowa,48031,52284
Kansas,45513,47435
Kentucky,38062,39277
Louisiana,45489,44372
Maine,37727,39521
Maryland,53999,56375
Massachusetts,62441,66500
Michigan,40465,44201
Minnesota,51297,54805
Mississippi,31807,32447
Missouri,41941,43036
Montana,38601,39833
Nebraska,50655,54654
Nevada,43384,44812
New Hampshire,48661,52509
New Jersey,55106,56776
New Mexico,40098,41619
New York,62769,65220
North Carolina,42619,44706
North Dakota,68174,64911
Ohio,44911,48188
Oklahoma,41880,44535
Oregon,49461,51312
Pennsylvania,47554,51841
Rhode Island,46194,48314
South Carolina,35359,37637
South Dakota,47070,48004
Tennessee,41114,44348
Texas,50253,53737
Utah,41952,45493
Vermont,43099,44831
Virginia,51568,52124
Washington,53473,59333
West Virginia,35532,37353
Wisconsin,45422,48666
Wyoming,60794,61091